x,y
4.000000000000021,0.0
3.9993907806255864,0.06980962574913442
4.197441473480224,0.14657788615050485
4.194244045969232,0.21981101622036528
4.7883074412471816,0.33483107397180323
4.980973490458754,0.43577871373829313
5.370418234988704,0.5644537016453317
5.558258449191433,0.6824683230688295
5.743554798701139,0.8072039855683838
5.926130043570859,0.9386067902413903
7.090615821687935,1.2502668792019052
7.067715720823219,1.3738247667111299
7.042662725283439,1.4969641738878752
7.015464466453731,1.6196475912758366
6.9861292291872115,1.741837648317617
7.147851114539144,1.9152609337586637
7.113336549943598,2.039716433045805
6.8853942429338915,2.105076274003716
6.847606917325142,2.224922359499633
6.807733744315118,2.344090712091541
6.577848345501394,2.3941410032796937
6.535062985480447,2.5085756468171154
6.490286981967547,2.622246153911398
6.443533974167117,2.7351178994249308
6.39481820349824,2.8471565015306166
5.981631394441921,2.789280527488631
5.7522818963147,2.8055753394501104
5.702441754805585,2.9055391983331145
5.650864594297163,3.004618001829717
5.597566125692163,3.1027815695765737
5.715767664977326,3.300000000000017
6.000171104914818,3.6052665243703985
5.936336673095013,3.709434849632454
6.038428089207085,3.921401052108216
5.803263007885322,3.914350324295249
5.570233901165174,3.900319767187134
5.501315561749672,3.9969397155888386
5.270994366312161,3.9719791528035397
5.358473124525737,4.186498032214499
5.2845925379074306,4.279378659138917
5.2091022132090785,4.37095574586849
5.282967061559432,4.592413202933575
5.2020137783417875,4.6839142445120325
5.11947591133422,4.7739885204375145
5.035378602370585,4.8626085932130065
4.949747468305859,4.949747468305858
5.001540267304807,5.1792465624383155
4.910388192450015,5.2657466516580556
4.817740365783805,5.350642743437267
4.723625008731678,5.433908977603988
4.885185833617725,5.821937767704264
4.908699050188758,6.061738499364405
4.802159507540161,6.146483878132464
4.694157180586003,6.2293569783689176
4.232053816505829,5.824922359499653
4.129750341727554,5.897894718880773
4.249866066377698,6.300685551418351
4.139256666114228,6.373896316385257
4.13337026101902,6.614775150020158
4.017296984298444,6.685904945476512
3.800000000000021,6.581793068761768
4.169362734118521,7.521729481398843
4.319138377630219,8.123117854302171
4.085914497655943,8.019058717695353
3.769991862386086,7.729628798172878
3.6345170509700346,7.794246968515231
3.741977116297382,8.404618210311973
3.6728726077991927,8.652745622452986
3.596223296792774,8.900965003841208
3.440332315634902,8.962372094373185
3.351797404591572,9.20898768370195
3.190567913680153,9.266082040873354
