x,y
4.200000000000022,0.0
4.199360319656866,0.07330010703659114
4.197441473480224,0.14657788615050485
4.194244045969232,0.21981101622036528
4.1897690110912835,0.2929771897253278
4.184017731985354,0.36605411954016626
4.375896339620426,0.45992523837767774
4.36720306722184,0.5362251109826518
4.357179502462933,0.6123616442242912
4.543366366737658,0.7195985391850658
4.924038765061066,0.8682408883346563
5.889763100686015,1.144853972259275
5.868885604402865,1.2474701449065626
5.651346375754395,1.304716115194424
5.627715212400809,1.4031469944780803
5.602369792476626,1.5011504615946283
5.575317836442279,1.5986966637386038
5.5465675845856355,1.6957558873918823
5.51612779451192,1.7922985673747045
6.05131888383566,2.083636188525814
6.014032773029846,2.1889289172842914
5.974914729582123,2.293554877089934
5.933976669227471,2.3974821978618497
5.707130091405161,2.4225329966335103
5.481272745855635,2.4404198584548142
5.256585164812598,2.45118591809607
5.213005468535196,2.5425526513766625
5.167837840292561,2.6331448984893853
4.944506520010018,2.6290407516010026
5.072794301408522,2.81189579742877
5.19615242270666,3.0000000000000155
5.143003804212701,3.0902284494603416
5.088288576938583,3.1795155853992463
4.6965551804944,3.049978596084168
4.642610406308258,3.1314802594361995
4.587251448018378,3.212028043565875
4.53049516849973,3.291597412837867
4.3126317542554045,3.249801125021078
4.255258069476321,3.3245719667585725
4.196588191867665,3.3983301116691402
4.2898488814663,3.599610614244639
4.226373649247546,3.67393056234686
4.16161102267343,3.747131395609626
4.241851469391212,3.955590488362512
4.172170841964199,4.029018548662205
4.101219330881998,4.101219330881997
4.029018548662205,4.172170841964198
3.819190816350012,4.095580729067376
3.747131395609626,4.16161102267343
3.67393056234686,4.226373649247546
3.59961061424464,4.2898488814663
3.9017864245090133,4.818304961033245
3.817101147019102,4.885666672361703
3.6108901389123096,4.791813060283783
3.5267115137548575,4.8541019662497105
3.3267433308360856,4.751081856876178
3.3551574208244985,4.974225435330277
3.26783421009018,5.032023407672571
3.709434849632454,5.936336673095013
3.6052665243703985,6.000171104914818
3.5000000000000195,6.062177826491102
3.393667341724378,6.122337949975803
3.192406626944075,6.004043631440735
