x,y
5.200000000000028,0.0
5.399177553844542,0.09424299476133147
5.396710465903146,0.18845728219350624
6.3912290224293065,0.3349501199548423
6.583922731714875,0.46039272671122944
6.774123947023906,0.5926590506840786
6.96165326757795,0.7316992428735782
7.344841522145821,0.9018331411980961
7.327983708687659,1.0298809471044896
7.901506724761144,1.2514757203218536
8.07542357470015,1.4239150568688363
8.049342904270887,1.5646337620876758
8.02081032601725,1.7048758647056357
7.989834531238972,1.8445986456197028
7.7623658102080135,1.935375164797352
7.727406610312587,2.070552360820177
7.690093567506592,2.205098846536005
7.459177096511716,2.280499296837359
7.418240827102237,2.4103325561246027
7.375044889674711,2.5394316047658356
7.329602442130125,2.66775711794023
7.281927326678212,2.795270006453357
7.417470836534339,2.996852747327312
7.179937856929073,3.0477028022163517
7.125654569612324,3.1725458159912585
7.0692007388859075,3.296422441577473
7.010593561133541,3.419294944954822
6.949850888669307,3.5411258979684836
6.886991224299667,3.661878189729968
6.822033715687323,3.7815150379214493
6.581793068761769,3.80000000000002
6.514471485336088,3.9142893693164322
6.445165530788872,4.0273864081723785
6.541630429974343,4.248184473117234
6.466493065929359,4.361704647071849
6.38938594545417,4.473896203538183
6.472135954999614,4.70228201833981
6.389084080378376,4.814520185216412
6.304086028853809,4.925291802605293
6.2171676916558,5.034563128398726
6.128355544951857,5.1423008774923415
6.037676641782208,5.248472231924086
5.945158603819186,5.353044850870894
5.850829612953395,5.455986880500017
5.754718402709241,5.557266963672007
5.798275605729721,5.79827560572972
5.696198637763808,5.89858636277697
5.592386552512517,5.997100353277229
5.62069709341444,6.242416534010145
5.510895843520291,6.339560473871319
5.399415921366959,6.434773322199449
5.412155363028631,6.683455268529985
5.294688687800689,6.776892481017845
5.175609199107644,6.868265386406755
5.054953169715296,6.957546151624586
5.162187927159443,7.372368398600965
5.144574711930898,7.627145667506425
5.010679122138276,7.715769225097942
4.875257230945511,7.80204248463916
4.841357904154535,8.057372626599898
4.700000000000026,8.140638795573766
4.654172354364861,8.396349188538244
4.600821315301755,8.65288641001753
4.4491068974475825,8.73186393704605
4.383711467890798,8.987940462991718
4.395229922103297,9.425600985181209
4.311408416603506,9.68358185101162
4.141749961986323,9.75735144659592
4.1955938462582365,10.384459171148075
4.1570682147255065,10.829532947367598
3.9674336625777795,10.900434401116595
3.7765905917030387,10.968015476952132
3.646400533624399,11.222466892282872
3.5669347976174075,11.666918022749094
3.3627757409674075,11.727392690447553
3.15759235025077,11.784295080726697
2.951447126315961,11.83760786056722
3.014344128207806,13.056558868122222
2.910763671448648,13.69406641027335
2.7858113324975706,14.33175687833597
2.7783708426709013,15.756924048195412
2.565525226659801,16.198088785760348
2.2546042355530727,16.04234271361353
2.120526575249579,17.270303038559106
2.00694649473896,19.09482039107098
2.004582083196153,22.91247805611033
1.646252780361369,23.542511586132044
1.4340052010566777,27.36244925227557
0.523492450537519,14.990862405286517
0.20593839595994756,11.79820280284548
6.000769315822062e-16,9.800000000000052
-0.14310973278572528,8.198751100282452
-0.28617587296050934,8.195004781556628
-0.41868764994355295,7.989036278036633
-0.5301492004553553,7.5814867819747045
-0.6623836448822061,7.571079705497307
-0.7735106281806404,7.359462025725262
-0.9018331411980953,7.344841522145822
-1.002046326912476,7.129930094939344
-1.0011805762574826,6.321205379808916
-1.11134833706836,6.302769619278165
-1.2593393694852024,6.478739410754617
-1.372217159397219,6.455774164843152
-1.4846769586695172,6.430842427582587
-1.5966845109578158,6.403951793421611
-1.4493866525741246,5.409184627218812
-1.8743340195556035,6.536579532380603
-1.9296532511700721,6.311611389356068
-1.8541019662496938,5.706339097770952
-1.9534089267429502,5.673111453595931
-1.983716831288889,5.450217200558298
-2.078534107362753,5.414766473683799
-2.0977969231291187,5.1922295855740375
-2.1880943195399447,5.154827179333693
-2.2777252012244937,5.115854562798592
-2.366662265747929,5.0753236074052674
-2.542552651376663,5.213005468535196
-2.633144898489385,5.167837840292561
-2.722935064158182,5.121096038581803
-2.714933873379502,4.897870359980643
-2.8000000000000136,4.849742261192882
-2.8842132194963193,4.800136883931855
-2.9675478797059625,4.749069338476011
-2.8321229820781557,4.361086953316228
-2.7959645173537484,4.145187862775231
-2.8678821817552462,4.09576022144498
-2.938926261462381,4.045084971874759
-3.009075115760258,3.993177550236485
-3.078307376628308,3.940053768033631
-3.020737877039235,3.7303006149934808
-2.956823004558097,3.5238044383473177
-3.017871533356349,3.4716640690247704
-3.078000789250764,3.418466197196032
-3.1371924562875093,3.3642270274482025
-3.1954285041114048,3.308963081557813
-3.394112549695446,3.3941125496954463
-3.452831041625544,3.334360178203204
-3.510497767772037,3.2735921283000105
-3.56709516229151,3.211826910522537
-3.47166406902477,3.0178715333563497
-3.5238044383473173,2.9568230045580974
-3.5748714227020852,2.894873798829267
-3.62484946659094,2.8320427864980435
-3.5139962442081076,2.647986101869026
-3.5596747752497873,2.586255110086896
-3.6042689948715836,2.5237363199446157
-3.6477653192422026,2.4604487752712996
-3.8578846125489705,2.505339561069139
